date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:12	92956/92956	---MCZ	200	added ('OK')	text/html	etag:W/%2269a3c35e530b38bf20a3dbc26470578b%22	https://spline.design/customers	/Users/banyar-ego/websites/test/spline.design/customers.html	(from )
12:34:13	5497/5497	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2202cab33e87e583661b4cde4d0782bfac%22	https://spline.design/robots.txt		(from )
12:34:13	2084/2084	---M--	200	added ('OK')	image/png	etag:%22cf8b946e86850216095c29d6ab90202c%22	https://spline.design/images/icon_favicon16x16.png	/Users/banyar-ego/websites/test/spline.design/images/icon_favicon16x16.png	(from https://spline.design/customers)
12:34:14	5560/5560	---M--	200	added ('OK')	image/png	etag:%22f10a3012022845632db32ba6f0bbe196%22	https://spline.design/images/icon_favicon32x32.png	/Users/banyar-ego/websites/test/spline.design/images/icon_favicon32x32.png	(from https://spline.design/customers)
12:34:15	26028/26028	---M--	200	added ('OK')	font/woff2	etag:%22a32d4e539b6cce913653220a65f9ffeb%22	https://spline.design/fonts/SplineSans-Medium.woff2	/Users/banyar-ego/websites/test/spline.design/fonts/SplineSans-Medium.woff2	(from https://spline.design/customers)
12:34:16	25516/25516	---M--	200	added ('OK')	font/woff2	etag:%221d71132864e479de1a7f89e8ccd5afb3%22	https://spline.design/fonts/SplineSans-Regular.woff2	/Users/banyar-ego/websites/test/spline.design/fonts/SplineSans-Regular.woff2	(from https://spline.design/customers)
12:34:17	16888/16888	---M--	200	added ('OK')	font/woff2	etag:%22ef63a2b7da9f2db1ec954e104c951562%22	https://spline.design/fonts/Brockmann-Regular.woff2	/Users/banyar-ego/websites/test/spline.design/fonts/Brockmann-Regular.woff2	(from https://spline.design/customers)
12:34:18	17328/17328	---M--	200	added ('OK')	font/woff2	etag:%22a2fa8ed9212d7901d18cbf05efbb4551%22	https://spline.design/fonts/Brockmann-Medium.woff2	/Users/banyar-ego/websites/test/spline.design/fonts/Brockmann-Medium.woff2	(from https://spline.design/customers)
12:34:19	46010/46010	---M--	200	added ('OK')	image/png	etag:%220bc01b926285bd61c4c5f50cd7458cac%22	https://spline.design/_next/static/media/spline_image_banner.de9090c7.png	/Users/banyar-ego/websites/test/spline.design/_next/static/media/spline_image_banner.de9090c7.png	(from https://spline.design/customers)
12:34:21	21030/21030	---MCZ	200	added ('OK')	text/css	etag:W/%22faececa7185329004663fd77935ecaff%22	https://spline.design/_next/static/css/794bdb826220adef.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/794bdb826220adef.css	(from https://spline.design/customers)
12:34:22	29090/29090	---MCZ	200	added ('OK')	text/css	etag:W/%2279701381e5fb5fc2143c9dd9b39410e1%22	https://spline.design/_next/static/css/3c87eaafd1de82f0.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/3c87eaafd1de82f0.css	(from https://spline.design/customers)
12:34:23	6950/6950	---MCZ	200	added ('OK')	text/css	etag:W/%22d447e8123a95d11c45eea8bacc2a2f44%22	https://spline.design/_next/static/css/5375a9626fb6887e.css	/Users/banyar-ego/websites/test/spline.design/_next/static/css/5375a9626fb6887e.css	(from https://spline.design/customers)
12:34:24	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://spline.design/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://spline.design/customers)
12:34:25	6466/6466	---MCZ	200	added ('OK')	application/javascript	etag:W/%223af379ac4a29b5a9dee98abeed24d908%22	https://spline.design/_next/static/chunks/webpack-cfb5982e3bd3177a.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/webpack-cfb5982e3bd3177a.js	(from https://spline.design/customers)
12:34:26	141070/141070	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a10cf05471abf077fc03bf9169b017df%22	https://spline.design/_next/static/chunks/framework-37c2038a4ce3a426.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/framework-37c2038a4ce3a426.js	(from https://spline.design/customers)
12:34:27	155517/155517	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cee52eda9c22f87c6f6a0c56da5586f8%22	https://spline.design/_next/static/chunks/main-18ab93e2b5bd5c05.js	/Users/banyar-ego/websites/test/spline.design/_next/static/chunks/main-18ab93e2b5bd5c05.js	(from https://spline.design/customers)
